// mob_db2.txt -- merged into mob_db.txt (2026-06-16). Intentionally has no
// entries; the loader/inter conf still reference it, an empty load is a no-op.
// === [backport] Renewal mobs (ID<=10000) - rAthena 7f08087 (2026-06-18), db/re/mob_db.yml. EXP/JEXP scaled (/120,/72), mode reconstructed, no skills. NOT spawned. See Doc/backport_renewal_mobs.md ===
1136,KOBOLD_4,Kobold,Kobold,31,10,0,38188,63646,1,316,62,1,1,1,31,31,20,55,20,10,12,1,7,45,0x30AD,200,1528,528,360,0,0,0,0,0,0,0,0,999,25,1034,2668,912,50,1355,3,2104,2,508,50,1301,75,0,0,0,0,0,0
1137,KOBOLD_5,Kobold,Kobold,31,10,0,38188,63646,1,223,33,1,1,1,31,31,20,88,20,10,12,1,7,43,0x30AD,300,1228,528,360,0,0,0,0,0,0,0,0,999,20,1034,2668,912,50,1514,3,2104,2,508,50,1501,75,0,0,0,0,0,0
2000,M_GAMEMASTER,Male Game Master,Male Game Master,50,7000,250,0,0,1,25,25,10,10,44,121,1,60,75,110,10,12,1,7,20,0x20,200,300,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,F_GAMEMASTER,Female Game Master,Female Game Master,50,7000,250,0,0,1,25,25,10,10,44,121,1,60,75,110,10,12,1,7,20,0x20,200,300,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,T_SPRING_RABBIT,Talisman Ghost,Talisman Ghost,50,8000,0,15,11,1,585,228,47,21,45,61,5,15,77,90,10,12,1,2,42,0x83,160,1120,552,511,0,0,0,0,0,0,0,0,6061,250,6068,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,T_BACSOJIN,Talisman Ghost,Talisman Ghost,97,720500,0,0,0,2,1414,2036,210,178,118,244,98,126,246,102,10,12,2,7,41,0x3695,160,576,960,480,0,0,0,0,0,0,0,0,7406,500,7407,500,6062,500,6063,500,6064,500,6065,500,6066,500,0,0,0,0,0,0
2004,T_WICKED_NYMPH,Talisman Ghost,Talisman Ghost,63,16029,0,0,0,2,399,691,20,75,1,64,12,69,100,80,10,12,1,6,67,0x3795,200,637,1008,360,0,0,0,0,0,0,0,0,7406,400,7407,400,6063,400,6064,400,6065,400,6066,400,6067,400,0,0,0,0,0,0
2005,T_PLASMA_B,Plasma,Plasma,44,8200,0,0,0,3,300,400,0,30,1,30,5,73,90,30,10,12,0,0,81,0x3885,150,608,1440,576,0,0,0,0,0,0,0,0,7406,250,7407,250,6062,250,6063,250,6064,250,0,0,0,0,0,0,0,0,0,0
2006,T_PLASMA_P,Plasma,Plasma,49,5900,0,0,0,3,300,400,0,30,1,30,5,54,90,30,10,12,0,0,87,0x3885,150,608,1440,576,0,0,0,0,0,0,0,0,6062,250,6063,250,6064,250,6065,250,6066,250,0,0,0,0,0,0,0,0,0,0
2007,T_PLASMA_R,Plasma,Plasma,43,5700,0,0,0,3,300,400,0,30,1,30,5,56,90,30,10,12,0,0,83,0x3885,150,608,1440,576,0,0,0,0,0,0,0,0,7406,250,7407,250,6064,250,6065,250,6066,250,6067,250,0,0,0,0,0,0,0,0
2011,E_GHOUL,Tenacious Ghoul,Tenacious Ghoul,40,99999,0,4,4,1,420,80,100,20,1,20,29,0,45,20,10,12,1,1,49,0x3885,250,2456,912,504,0,0,0,0,0,0,0,0,958,3000,756,55,509,350,511,400,12192,50,0,0,0,0,0,0,0,0,4110,1
2012,E_ZOMBIE,Tenacious Zombie,Tenacious Zombie,15,99999,0,1,1,1,67,12,100,10,1,8,7,0,15,0,10,12,1,1,29,0x3885,400,2612,912,288,0,0,0,0,0,0,0,0,957,4500,724,3,938,500,958,25,12192,50,0,0,0,0,0,0,0,0,4038,1
2025,MYSTCASE_EVENT,Wild Gift Box,Wild Gift Box,10,18,0,1,1,1,10,10,1,99,1,1,1,1,48,1,10,12,1,0,20,0x81,400,1248,1248,432,0,0,0,0,0,0,0,0,558,1000,529,1000,561,500,530,1000,0,0,0,0,0,0,0,0,0,0,0,0
2030,HIDEN_PRIEST,Hiden Priest,Hiden Priest,90,240500,0,0,0,2,1430,683,0,30,1,32,40,100,98,40,10,12,2,6,89,0x318D,150,432,432,360,0,0,0,0,0,0,0,0,12379,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,DANDELION_H,Dandelion,Dandelion,80,120000,0,0,0,1,336,305,0,10,1,19,32,0,76,20,10,12,1,7,47,0x308D,250,1772,72,384,0,0,0,0,0,0,0,0,12379,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,GUARDIAN_FOREST,Forest Guardian,Forest Guardian,50,99999,0,0,0,1,3000,3000,160,99,100,100,100,100,100,100,10,12,0,6,27,0x318D,200,868,480,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,GOLDEN_TULIP,Golden Tulip,Golden Tulip,1,100,0,0,0,1,1,1,160,99,0,0,0,0,0,0,7,12,0,3,22,0x0,1000,1,1,1,0,0,0,0,0,0,0,0,7951,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,M_DESERT_WOLF_B,Baby Desert Wolf,Baby Desert Wolf,9,164,15,0,0,1,500,100,0,0,1,9,9,5,40,40,10,12,0,2,23,0x81,100,1600,900,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,NIHILITY_ZEM,Nihility Zem,Nihility Zem,90,200500,0,0,0,1,1,1,0,20,1,1,1,0,1,20,10,12,0,4,22,0x100,1000,1001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,VALKYRIE_N,Valkyrie Randgris,Valkyrie Randgris,98,11780,0,0,0,1,1014,150,16,20,1,24,39,0,86,25,10,12,1,1,69,0x308D,170,576,576,480,0,0,0,0,0,0,0,0,6154,4500,6154,2500,6154,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,VALKYRIE_A,Valkyrie Randgris,Valkyrie Randgris,90,5500,15,0,0,1,11,150,16,20,1,20,40,0,24,20,10,12,1,8,66,0x81,100,576,576,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,VALKYRIE_B,Valkyrie Randgris,Valkyrie Randgris,90,10500,15,0,0,1,330,150,16,40,1,20,80,0,96,20,10,12,1,8,66,0x81,100,576,576,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,EXECUTIONER_R,Executioner,Executioner,65,28980,0,0,0,2,599,380,56,35,64,85,40,25,97,60,10,12,2,0,47,0x30AD,200,768,500,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,TIRFING_R,Ogretooth,Ogretooth,71,29900,0,0,0,1,1045,196,48,35,58,87,55,35,158,65,10,12,1,0,67,0x30AD,100,816,500,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,MYSTELTAINN_R,Mysteltainn,Mysteltainn,76,33350,0,0,0,2,1276,280,48,30,77,139,80,35,191,65,10,12,2,0,87,0x30AD,250,1152,500,240,0,0,0,0,0,0,0,0,502,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,SILVERSNIPER,Silver Sniper,Silver Sniper,100,4500,0,0,0,9,390,390,80,10,10,60,10,10,120,10,10,12,1,0,20,0x84,1000,504,1020,360,0,0,0,0,0,0,0,0,999,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,MAGICDECOY_FIRE,Magic Decoy,Magic Decoy,100,2500,0,0,0,7,195,195,16,60,10,10,10,100,60,10,10,12,1,0,23,0x0,1000,504,1020,360,0,0,0,0,0,0,0,0,999,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,MAGICDECOY_WATER,Magic Decoy,Magic Decoy,100,2500,0,0,0,7,195,195,16,60,10,10,10,100,60,10,10,12,1,0,21,0x0,1000,504,1020,360,0,0,0,0,0,0,0,0,999,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,MAGICDECOY_EARTH,Magic Decoy,Magic Decoy,100,2500,0,0,0,7,195,195,16,60,10,10,10,100,60,10,10,12,1,0,22,0x0,1000,504,1020,360,0,0,0,0,0,0,0,0,999,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,MAGICDECOY_WIND,Magic Decoy,Magic Decoy,100,2500,0,0,0,7,195,195,16,60,10,10,10,100,60,10,10,12,1,0,24,0x0,1000,504,1020,360,0,0,0,0,0,0,0,0,999,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,W_NAGA,Naga,Naga,99,46708,0,0,0,3,640,113,61,15,113,42,30,18,146,13,10,12,2,2,42,0x3885,150,400,864,432,0,0,0,0,0,0,0,0,926,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,W_PINGUICULA_D,Dark Pinguicula,Dark Pinguicula,99,8780,0,0,0,1,697,120,24,5,1,23,22,1,107,2,10,12,1,3,45,0x3885,290,1426,600,360,0,0,0,0,0,0,0,0,6086,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,W_BRADIUM_GOLEM,Bradium Golem,Bradium Golem,99,45200,0,0,0,1,936,166,125,18,0,10,82,2,72,12,10,12,2,0,42,0x3885,300,1008,1200,540,0,0,0,0,0,0,0,0,6090,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,W_AQUA_ELEMENTAL,Aqua Elemental,Aqua Elemental,99,33220,0,0,0,1,547,95,13,12,1,23,19,8,92,2,10,12,2,0,81,0x2085,230,504,960,576,0,0,0,0,0,0,0,0,12353,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,E_DARKLORD,Dark Lord,Dark Lord,96,100000000,0,3571,3875,2,3935,2585,330,168,118,136,154,142,193,66,10,12,2,6,89,0xA1,100,868,768,480,1786,10000,617,5000,617,5000,617,5000,12535,5000,12531,10000,12550,10000,0,0,0,0,0,0,0,0,0,0,0,0,4168,1
2058,M_MIMIC,Mimic,Mimic,51,6120,182,0,0,1,800,150,10,40,44,121,1,60,75,110,10,12,1,0,60,0x3095,100,972,500,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,M_DISGUISE,Disguise,Disguise,55,7543,180,0,0,2,526,167,18,29,0,72,45,35,48,65,10,12,1,6,82,0x3985,147,516,768,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,M_ALICE,Alice,Alice,62,10000,221,0,0,1,700,150,5,5,64,64,42,85,100,130,10,12,1,7,60,0x91,200,502,1999,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,E_ANOPHELES,Anopheles,Anopheles,5,50,0,1,1,1,140,18,8,10,1,30,1,1,30,1,10,12,0,4,64,0x181,170,1084,2304,576,0,0,5586,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4344,1
2067,E_ANOPHELES_,Anopheles,Anopheles,3,500,0,1,1,1,40,18,8,100,1,100,1,1,100,1,10,12,0,4,64,0x181,170,1084,2304,576,0,0,0,0,0,0,0,0,702,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4344,1
2075,E_VADON_X,Ragunta,Ragunta,1,300,0,0,0,5,4620,2600,42,32,200,1,30,35,222,32,10,12,2,0,20,0x20,150,1632,432,540,0,0,7510,10000,7510,10000,7510,10000,991,20,960,4500,910,1500,2313,3,943,50,757,20,960,1,0,0,0,0,0,0
2076,S_WIND_GHOST,Shadow of Deception,Shadow of Deception,105,190800,0,0,0,1,601,495,64,51,62,44,25,105,102,20,10,12,1,6,64,0x3195,150,1056,1056,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,S_SKOGUL,Shadow of Illusion,Shadow of Illusion,105,244400,0,0,0,1,1183,256,72,15,100,88,63,99,114,37,10,12,1,6,67,0x3195,190,720,384,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,S_SUCCUBUS,Shadow of Pleasure,Shadow of Pleasure,105,206660,0,0,0,1,1144,324,76,48,100,70,45,110,122,85,10,12,1,6,67,0x3195,155,1306,1056,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2079,CRYSTAL_H,Crystal,Crystal,77,7777777,0,17315,26235,1,19555,7777,77,77,1,7,7,77,92,77,0,0,2,0,60,0x36B5,177,1152,1152,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,CRYSTAL_L,Crystal,Crystal,1,100,0,0,0,1,0,0,99,160,1,1,1,1,999,1,10,12,2,0,60,0x36B5,177,1864,864,288,0,0,0,0,0,0,0,0,991,2500,756,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,HORN_SCARABA,One-Horned Scaraba,One-Horned Scaraba,130,51100,0,22,37,1,886,91,135,20,44,59,55,21,99,33,10,12,0,4,22,0x1189,200,384,672,360,0,0,0,0,0,0,0,0,6324,3250,1433,5,12735,5,7939,50,993,50,0,0,0,0,0,0,0,0,4505,1
2084,HORN_SCARABA2,Two-Horned Scaraba,Two-Horned Scaraba,134,58900,0,24,42,1,1935,105,150,38,44,68,72,45,126,51,10,12,0,4,22,0x1189,150,336,360,360,0,0,0,0,0,0,0,0,6323,3250,13061,5,12735,5,7939,50,993,50,0,0,0,0,0,0,0,0,4505,1
2085,ANTLER_SCARABA,Antler Scaraba,Antler Scaraba,136,62600,0,26,48,1,1418,410,155,102,23,99,59,129,137,45,10,12,1,4,42,0x3985,200,504,624,360,0,0,0,0,0,0,0,0,6322,3250,1930,5,12735,5,7939,50,993,50,0,0,0,0,0,0,0,0,4505,1
2086,RAKE_SCARABA,Rake Scaraba,Rake Scaraba,139,67700,0,29,55,1,1645,112,250,70,90,66,145,52,168,77,10,12,1,4,42,0x3985,150,588,768,480,0,0,0,0,0,0,0,0,6321,3250,16010,5,12735,5,15000,50,993,50,512,20,0,0,0,0,0,0,4505,1
2087,QUEEN_SCARABA,Scaraba Queen,Scaraba Queen,140,2441600,0,2222,1621,3,2834,1240,350,220,100,88,82,149,317,144,10,12,2,4,62,0x36B5,120,864,1000,360,1111,10000,616,5000,616,2000,0,0,6326,3500,1191,500,1196,200,18103,250,0,0,0,0,0,0,0,0,0,0,4507,1
2088,HORN_SCARABA_EGG,Scaraba Egg,Scaraba Egg,125,63000,0,22,28,1,1,1,230,55,1,1,130,34,1,80,10,12,0,4,20,0x100,1000,96,1,480,0,0,0,0,0,0,0,0,7032,2500,518,50,985,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2089,HORN_SCARABA2_EGG,Scaraba Egg,Scaraba Egg,126,66000,0,22,28,1,1,1,250,62,1,1,130,48,1,80,10,12,0,4,20,0x100,1000,96,1,480,0,0,0,0,0,0,0,0,7032,2500,518,50,985,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,ANTLER_SCARABA_EGG,Antler Scaraba Egg,Antler Scaraba Egg,127,69000,0,22,28,1,1,1,235,180,1,1,130,82,1,80,10,12,0,4,20,0x100,1000,96,1,480,0,0,0,0,0,0,0,0,7032,2500,518,50,985,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2091,RAKE_SCARABA_EGG,Rake Scaraba Egg,Rake Scaraba Egg,128,72000,0,22,28,1,1,1,290,44,1,1,130,39,1,80,10,12,0,4,20,0x100,1000,96,1,480,0,0,0,0,0,0,0,0,7032,2500,518,50,985,5,2153,250,0,0,0,0,0,0,0,0,0,0,0,0
2092,DOLOMEDES,Dolomedes,Dolomedes,132,54591,0,28,47,3,1016,286,112,52,149,34,82,55,143,67,10,12,2,4,61,0x3985,250,360,360,600,0,0,0,0,0,0,0,0,6319,1500,6325,2500,6090,250,2789,5,12738,5,6224,250,1984,5,0,0,0,0,4506,1
2093,BOTARING,Botaring,Botaring,15,15,0,1,1,2,20,20,20,20,10,10,10,10,77,77,10,12,0,0,26,0x81,170,1872,672,480,0,0,0,0,0,0,0,0,12492,3500,12492,1750,12492,500,5204,350,664,1000,665,1000,666,1000,603,250,0,0,0,0
2094,E_ORK_HERO2,Orc Hero,Orc Hero,50,362000,0,8,14,1,662,441,197,70,97,82,107,71,144,43,10,12,2,7,42,0x36B5,150,1678,780,648,4,10000,725,2000,607,5000,607,5000,968,4850,10018,250,1366,75,12539,25,1124,500,985,2280,1387,50,0,0,0,0,4143,1
2095,E_EDDGA,Eddga,Eddga,65,947500,0,8,14,1,1509,776,166,70,92,80,103,66,139,85,10,12,2,2,23,0x36B5,300,872,1344,432,4,10000,1029,5000,1030,3000,1030,3000,1133,75,2268,125,518,5000,12539,25,1030,125,985,1150,13046,50,0,0,0,0,4074,1
2096,E_OSIRIS2,Osiris,Osiris,68,475840,0,8,14,1,1580,903,172,164,97,99,86,131,145,67,10,12,1,1,89,0x36B5,100,1072,672,384,4,10000,603,4000,608,500,608,500,617,1000,1232,75,2235,100,12539,25,1009,500,5053,75,1285,50,0,0,0,0,4144,1
